Title,Aid,View,Danmaku,Reply,Favorite,Coin,Share,Like,Dislike,Pts
皮卡丘跳舞,52232741,44336,60,196,1673,1523,199,2905,0,54552
除了巨人还有什么？【他她TV】聊动漫,52153037,47338,445,687,898,2689,104,3709,0,53996
这部动漫因为太过热血，连B站都选择禁播，不可错过的经典神作《大剑》,52185456,70776,285,359,362,265,7,587,0,53951
编剧和主角有仇？2015年神级沙雕片！不看对不起自己的显示器！！,52220342,47450,605,254,1335,2115,96,4137,0,53463
【Alan Becker】火柴人vs我的世界14：海豚王国,52166712,53227,435,141,1191,244,65,1787,0,52539
《泠鸢yousa大电影》一小时玩整版泄露 - 1080P,52158482,53333,119,196,995,301,45,1233,0,51838
【甲铁城的卡巴内瑞:海门决斗】无名酱跳宅舞，笑死我了(ಥ_ಥ),52092056,52535,70,318,824,371,103,641,0,50186
柱间：斑。。。你。你怎么穿成这样就出来了？赶紧回去！up:柱间你们两个是不是？【当中文歌曲碰上火影会发生什么（第八期）】,52130816,44833,296,238,1028,610,111,2057,0,48049
【OVERLORD IF】老骨再次穿越，这次的穿越将带来怎样的格局变化！–––灭国篇,52087361,44880,167,304,893,1829,25,2189,0,47535
【MMD/60FPS】黑色长裙，转动吧！啧，可惜...,52164444,8973,23,83,2702,291,18,1308,0,46381
看这个把自己棺材板给踢碎的男人,52145860,110761,144,278,263,110,21,507,0,44955
汤姆想起了被舍友的抖音外放支配的恐惧,51574786,44511,355,290,923,989,321,1937,0,44827
全程高燃，戴上耳机，一秒燃爆！不好意思，我已经不能再帅了,52139728,30410,235,135,1544,953,58,1981,0,44793
男主用读档智取美女反派后，突然消失了？,52081247,72755,21,168,468,103,7,447,0,44415
海贼王专题#222: 霜月康家和索隆十郎,52066672,57611,270,198,209,797,65,1750,0,44206
当宝可梦遇见它们的闪光版,52197784,56072,102,113,574,100,63,735,0,43963
【洛丽塔|Lo装初音】因为你太柔软-勾指起誓【服装配布】,52203785,9676,33,151,2332,1154,68,1547,0,43912
【补番推荐74】B站近期买回版权的番剧！【第七十四期】,52243229,47886,194,184,782,535,29,859,0,43865
【#16】忽然被观众告白而慌张的舌头打结的名取纱那,52203597,44360,24,128,907,143,36,875,0,43144
【东方MMD】邹忌讽齐王纳谏,52154328,18816,274,299,1866,2396,460,2245,0,43093
死神——沦为时代眼泪的“神作”,52167818,38596,373,415,781,1430,52,1683,0,42557
哆啦A梦中最心伤的一个剧场 它被同族人抛弃，但她却…,52196331,41213,210,185,852,658,28,1127,0,41790
复古蹦迪三部曲之一，《SEXY LOVE》热舞翻跳,52087252,11927,18,56,2215,191,10,782,0,41060
【王者荣耀MMD/小乔·丁香结】我宁化成风，也不舍这一场美梦【浪人琵琶】,52132940,20814,134,182,1639,703,113,1648,0,40915
【预告解析】《路人女主的养成方法Fine》剧场版 最终章与原作不同走向?! 我算出它的上映时间了,52081054,23742,257,243,1261,3277,100,3154,0,40337
【一拳超人】当经费战士失去了经费 第二季战斗对比第一季,52145386,67939,356,287,98,27,34,220,0,40185
《一拳超人》第二季31：秃头“宠物”，波奇登场！差点秒杀饿狼？,52147209,69813,151,302,200,608,13,1456,0,40049
用崩坏3的方式来打开猫和老鼠（22）,52213049,29987,659,351,956,2202,117,3030,0,39769
诗乃直叶来救驾！后宫团齐聚UW！ 《刀剑神域Alicization》小说第17卷速看（1）【狮团爱煲番】,52035972,34274,561,270,792,2378,48,2608,0,38822
曾经被B站大佬们吹爆的新番！却因经费不足疯狂崩坏！【多罗罗吐槽】,51546137,63908,141,275,218,158,25,835,0,38684
《死神队传》死神最神秘的人-浦原喜助！文武双全 平常的逗比店长，真正的实力bug！,52144973,43070,225,221,472,1302,24,1530,0,38626
关于5.11日心心直播哭泣事件，对于vtuber与粉丝间的看法,52255231,35196,70,470,632,378,78,890,0,38603
